Date,Price,Open,High,Low,Vol.,Change %
2020-11-09,421.26,439.83,452.5,421.26,34.83M,-2.02%
2020-11-06,429.95,436.1,436.57,424.28,21.71M,-1.86%
2020-11-05,438.09,428.5,440,424.27,28.41M,4.06%
2020-11-04,420.98,430.62,435.4,417.1,32.14M,-0.69%
2020-11-03,423.9,409.73,427.77,406.69,34.35M,5.84%
2020-11-02,400.51,394,406.98,392.3,29.02M,3.21%
2020-10-30,388.04,406.9,407.59,379.11,42.59M,-5.55%
2020-10-29,410.83,409.96,418.06,406.46,22.66M,1.18%
2020-10-28,406.02,416,418.28,406.02,25.45M,-4.39%
2020-10-27,424.68,423.9,430.29,420.38,22.69M,1.05%
2020-10-26,420.28,411.5,425.54,410.01,28.24M,-0.08%
2020-10-23,420.63,421.84,422.89,407.38,33.72M,-1.21%
2020-10-22,425.79,442.15,444.74,424.72,39.99M,0.75%
2020-10-21,422.64,423.25,432.9,421.25,32.37M,0.17%
2020-10-20,421.94,430.91,430.91,419.1,31.66M,-2.06%
2020-10-19,430.83,445.74,446.6,428.93,36.29M,-2.01%
2020-10-16,439.67,454.44,455.95,438.85,32.78M,-2.05%
2020-10-15,448.88,451.15,456.31,442.71,35.67M,-2.69%
2020-10-14,461.3,449.74,465.75,447.77,48.05M,3.28%
2020-10-13,446.65,443.31,448.84,436.75,34.46M,0.98%
2020-10-12,442.3,441.84,448.67,438.63,38.79M,1.91%
2020-10-09,434,430.13,434.59,426.46,28.93M,1.90%
2020-10-08,425.92,438.95,438.95,425.47,40.42M,0.15%
2020-10-07,425.3,420,429.9,414.08,43.13M,2.73%
2020-10-06,413.98,425,428.5,406.58,49.15M,-2.75%
2020-10-05,425.68,423.35,433.64,419.33,44.72M,2.55%
2020-10-02,415.09,421.39,439.13,415,71.43M,-7.38%
2020-10-01,448.16,440.76,448.87,434.82,50.74M,4.46%
2020-09-30,429.01,421.76,433.67,420.48,48.15M,2.37%
2020-09-29,419.07,416,428.35,411.75,50.34M,-0.51%
2020-09-28,421.2,424.62,428.08,415.55,49.72M,3.40%
2020-09-25,407.34,393.47,408.73,391.3,67.21M,5.04%
2020-09-24,387.79,363.8,399.5,351.3,96.56M,1.95%
2020-09-23,380.36,405.16,412.15,375.88,95.07M,-10.34%
2020-09-22,424.23,429.6,437.76,417.6,79.58M,-5.60%
2020-09-21,449.39,453.13,455.68,407.07,109.48M,1.64%
2020-09-18,442.15,447.94,451,428.8,86.41M,4.42%
2020-09-17,423.43,415.6,437.79,408,76.78M,-4.15%
2020-09-16,441.76,439.87,457.79,435.31,72.55M,-1.78%
2020-09-15,449.76,436.56,461.94,430.7,97.30M,7.18%
2020-09-14,419.62,380.95,420,373.3,83.02M,12.58%
2020-09-11,372.72,381.94,382.5,360.5,60.72M,0.37%
2020-09-10,371.34,386.21,398.99,360.56,84.93M,1.38%
2020-09-09,366.28,356.6,369,341.51,79.47M,10.92%
2020-09-08,330.21,356,368.74,329.88,115.47M,-21.06%
2020-09-04,418.32,402.81,428,372.02,110.32M,2.78%
2020-09-03,407,407.23,431.8,402,87.60M,-9.02%
2020-09-02,447.37,478.99,479.04,405.12,96.18M,-5.83%
2020-09-01,475.05,502.14,502.49,470.51,90.12M,-4.67%
2020-08-31,498.32,444.61,500.14,440.11,118.37M,12.57%
2020-08-28,442.68,459.02,463.7,437.3,100.41M,-1.13%
2020-08-27,447.75,436.09,459.12,428.5,118.47M,3.98%
2020-08-26,430.63,412,433.2,410.73,71.20M,6.42%
2020-08-25,404.67,394.98,405.59,393.6,53.29M,0.45%
2020-08-24,402.84,425.25,425.8,385.5,100.32M,-1.75%
2020-08-21,410,408.95,419.1,405.01,107.45M,2.41%
2020-08-20,400.37,372.14,404.4,371.41,103.06M,6.56%
2020-08-19,375.71,373,382.2,368.24,61.03M,-0.45%
2020-08-18,377.42,379.8,384.78,369.02,82.37M,2.80%
2020-08-17,367.13,335.4,369.17,334.57,101.21M,11.20%
2020-08-14,330.14,333,333.76,325.33,62.89M,1.83%
2020-08-13,324.2,322.2,330.24,313.45,102.13M,4.26%
2020-08-12,310.95,294,317,287,109.49M,13.12%
2020-08-11,274.88,279.2,284,273,43.13M,-3.11%
2020-08-10,283.71,289.6,291.5,277.17,37.61M,-2.35%
2020-08-07,290.54,299.91,299.95,283,44.48M,-2.48%
2020-08-06,297.92,298.17,303.46,295.45,29.96M,0.31%
2020-08-05,297,298.6,299.97,293.66,24.89M,-0.13%
2020-08-04,297.4,299,305.48,292.4,42.07M,0.13%
2020-08-03,297,289.84,301.96,288.88,44.05M,3.79%
2020-07-31,286.15,303,303.41,284.2,61.23M,-3.82%
2020-07-30,297.5,297.6,302.65,294.2,38.11M,-0.77%
2020-07-29,299.82,300.2,306.96,297.4,47.13M,1.53%
2020-07-28,295.3,300.8,312.94,294.88,79.04M,-4.10%
2020-07-27,307.92,287,309.59,282.6,80.24M,8.65%
2020-07-24,283.4,283.2,293,273.31,96.98M,-6.35%
2020-07-23,302.61,335.79,337.8,296.15,121.64M,-4.98%
2020-07-22,318.47,319.8,325.28,312.4,70.81M,1.53%
2020-07-21,313.67,327.99,335,311.6,80.79M,-4.54%
2020-07-20,328.6,303.8,330,297.6,85.61M,9.47%
2020-07-17,300.17,302.69,307.5,298,46.65M,0.01%
2020-07-16,300.13,295.43,306.34,293.2,71.50M,-2.93%
2020-07-15,309.2,308.6,310,291.4,81.84M,1.93%
2020-07-14,303.36,311.2,318,286.2,117.09M,1.32%
2020-07-13,299.41,331.8,359,294.22,194.93M,-3.08%
2020-07-10,308.93,279.2,309.78,275.2,116.69M,10.78%
