Date,Price,Open,High,Low,Vol.,Change %
2019-05-17,42.21,44.39,44.45,41.78,88.93M,-7.58%
2019-05-16,45.67,45.9,46.2,45.3,37.42M,-1.55%
2019-05-15,46.39,45.86,46.49,45.05,36.48M,-0.15%
2019-05-14,46.46,45.86,46.9,45.6,36.26M,2.33%
2019-05-13,45.4,46.4,46.49,44.9,54.17M,-5.22%
2019-05-10,47.9,47.95,48.4,47.2,35.04M,-1.03%
2019-05-09,48.4,48.4,48.74,47.39,33.56M,-1.16%
2019-05-08,48.97,49.39,50.12,48.84,30.88M,-0.89%
2019-05-07,49.41,51.36,51.44,49.02,50.66M,-3.25%
2019-05-06,51.07,50,51.67,49.7,54.17M,0.12%
2019-05-03,51.01,48.77,51.32,48.7,118.53M,4.49%
2019-05-02,48.82,49.1,49.43,47.54,90.80M,4.32%
2019-05-01,46.8,47.77,48,46.3,53.52M,-1.97%
2019-04-30,47.74,48.41,48.84,47.4,47.32M,-1.14%
2019-04-29,48.29,47.17,48.8,46.43,83.57M,2.68%
2019-04-26,47.03,49.3,49.34,46.23,111.80M,-5.05%
2019-04-25,49.53,51,51.8,49.21,109.25M,-4.25%
2019-04-24,51.73,52.77,53.06,51.6,53.64M,-1.99%
2019-04-23,52.78,52.03,53.12,51.15,54.72M,0.44%
2019-04-22,52.55,53.8,53.94,52.5,60.74M,-3.84%
2019-04-18,54.65,54.25,54.97,53.95,29.38M,0.74%
2019-04-17,54.25,54.95,54.96,53.71,25.63M,-0.77%
2019-04-16,54.67,53.15,55,52.94,36.36M,2.61%
2019-04-15,53.28,53.73,53.78,51.73,50.19M,-0.49%
2019-04-12,53.54,54.04,54.39,53.37,33.73M,-0.26%
2019-04-11,53.68,53.66,54.1,53.12,49.18M,-2.77%
2019-04-10,55.21,55.35,55.68,54.58,35.31M,1.38%
2019-04-09,54.46,54.33,55,53.92,29.52M,-0.33%
2019-04-08,54.64,55.54,56.23,54.09,52.05M,-0.64%
2019-04-05,54.99,53.97,55.22,53.22,65.19M,2.67%
2019-04-04,53.56,52.38,54.24,52.12,118.60M,-8.22%
2019-04-03,58.36,57.46,59.23,57.43,39.65M,2.06%
2019-04-02,57.18,57.66,57.89,56.78,27.39M,-1.14%
2019-04-01,57.84,56.52,57.84,56.26,40.55M,3.34%
2019-03-29,55.97,55.74,56.03,54.9,29.96M,0.45%
2019-03-28,55.72,55.43,56.07,55.02,33.87M,1.36%
2019-03-27,54.97,53.75,55.07,53.64,43.90M,2.65%
2019-03-26,53.55,52.89,54.05,52.89,36.75M,2.82%
2019-03-25,52.08,51.94,52.64,50.89,51.08M,-1.57%
2019-03-22,52.91,54.52,54.56,52.8,43.73M,-3.45%
2019-03-21,54.8,54.52,55.29,53.69,29.74M,0.15%
2019-03-20,54.72,53.94,54.99,53.26,34.54M,2.30%
2019-03-19,53.49,53.5,54.66,52.69,59.00M,-0.76%
2019-03-18,53.9,55.2,55.61,53.46,51.40M,-2.16%
2019-03-15,55.09,56.7,56.74,54.88,73.93M,-5.00%
2019-03-14,57.99,58.49,59.08,57.66,35.52M,0.35%
2019-03-13,57.79,56.78,58.4,56.54,34.22M,1.98%
2019-03-12,56.67,57.3,57.61,56.21,37.52M,-2.60%
2019-03-11,58.18,56.7,58.26,56.1,36.96M,2.38%
2019-03-08,56.83,55.38,57.12,55.18,44.10M,2.73%
2019-03-07,55.32,55.77,56.94,54.85,47.21M,0.13%
2019-03-06,55.25,55.3,56.3,54.88,51.68M,-0.11%
2019-03-05,55.31,56.4,56.8,54.02,93.82M,-3.08%
2019-03-04,57.07,59.62,59.8,56.56,85.48M,-3.21%
2019-03-01,58.96,61.39,61.43,58.38,114.56M,-7.85%
2019-02-28,63.98,63.78,64,62.16,52.60M,1.64%
2019-02-27,62.95,60.36,63.26,60.11,55.92M,5.67%
2019-02-26,59.57,58.44,60.4,57.75,42.91M,-0.30%
2019-02-25,59.75,59.58,60.58,59.4,33.13M,1.37%
2019-02-22,58.94,58.9,59.3,58.42,28.70M,1.18%
2019-02-21,58.25,60.36,60.65,58.1,44.55M,-3.73%
2019-02-20,60.51,60.88,61.26,59.8,35.71M,-1.01%
2019-02-19,61.13,61.31,62.31,61.09,20.84M,-0.73%
2019-02-15,61.58,60.9,61.6,60.78,19.52M,1.37%
2019-02-14,60.75,60.68,61.35,60.2,26.00M,-1.43%
2019-02-13,61.63,62.47,62.55,61.11,25.71M,-1.17%
2019-02-12,62.36,63.24,63.64,61.92,27.59M,-0.34%
2019-02-11,62.57,62.32,63.72,62.1,35.65M,2.31%
2019-02-08,61.16,61.37,61.49,59.7,29.22M,-0.55%
2019-02-07,61.5,62.66,62.94,60.6,32.60M,-3.06%
2019-02-06,63.44,63.92,64.85,63.12,25.19M,-1.29%
2019-02-05,64.27,62.5,64.49,62.45,33.71M,2.70%
2019-02-04,62.58,62.6,63.06,60.38,36.76M,0.22%
2019-02-01,62.44,61.08,63.22,60.7,36.42M,1.69%
2019-01-31,61.4,60.2,62.31,58.8,62.85M,-0.57%
2019-01-30,61.75,60.09,61.8,59.7,56.25M,3.80%
2019-01-29,59.49,59.05,59.71,58.36,23.11M,0.35%
2019-01-28,59.28,58.58,59.49,57.55,32.12M,-0.22%
2019-01-25,59.41,58.88,59.7,57.91,36.29M,1.90%
2019-01-24,58.3,56.61,58.74,55.86,40.06M,1.36%
2019-01-23,57.52,58.5,58.9,56.34,62.65M,-3.78%
2019-01-22,59.78,60.96,61.6,59.1,60.33M,-1.11%
2019-01-18,60.45,64.6,65.43,59.95,120.75M,-12.97%
2019-01-17,69.46,69.24,70.3,68.83,18.38M,0.36%
2019-01-16,69.21,68.96,70.4,68.7,23.46M,0.46%
2019-01-15,68.89,67,69.76,66.9,30.28M,3.01%
2019-01-14,66.88,68.48,68.5,66.8,26.24M,-3.70%
2019-01-11,69.45,68.42,69.68,67.75,25.20M,0.67%
2019-01-10,68.99,66.88,69.08,66.36,30.28M,1.89%
2019-01-09,67.71,67.1,68.7,66.29,27.16M,0.95%
2019-01-08,67.07,68.39,68.8,65.4,35.04M,0.12%
2019-01-07,66.99,64.34,67.35,63.55,37.76M,5.43%
2019-01-04,63.54,61.2,63.6,60.55,36.97M,5.78%
2019-01-03,60.07,61.4,61.88,59.48,34.83M,-3.14%
2019-01-02,62.02,61.22,63.03,59.76,58.29M,-6.82%
2018-12-31,66.56,67.56,67.84,65.05,31.51M,-0.31%
2018-12-28,66.77,64.62,67.25,63.68,49.69M,5.60%
2018-12-27,63.23,63.97,64.43,60.3,42.88M,-3.05%
2018-12-26,65.22,60,65.39,58.82,40.82M,10.39%
2018-12-24,59.08,62.7,62.9,59.04,27.80M,-7.62%
2018-12-21,63.95,63.48,64.69,62.49,40.08M,1.38%
2018-12-20,63.08,65.41,66.06,62.37,45.36M,-5.27%
2018-12-19,66.59,67.52,69.4,65.95,41.37M,-1.22%
2018-12-18,67.41,70.11,70.31,66.74,35.50M,-3.26%
2018-12-17,69.68,72.4,73.14,68.78,38.37M,-4.73%
2018-12-14,73.14,75,75.57,72.87,31.69M,-2.95%
2018-12-13,75.36,74.03,75.49,73.35,36.83M,2.78%
2018-12-12,73.32,73.88,74.38,73.03,25.14M,-0.04%
2018-12-11,73.35,73.98,74.43,72.05,31.54M,0.44%
2018-12-10,73.03,72,73.2,70.62,33.07M,2.01%
2018-12-07,71.59,73.8,75.9,71.53,57.56M,-1.40%
2018-12-06,72.61,71.2,73.48,70.15,39.21M,0.93%
2018-12-04,71.94,71.21,73.74,70.4,42.31M,0.33%
2018-12-03,71.7,72,73.2,70.4,41.53M,2.28%
2018-11-30,70.1,68.37,70.32,67.65,28.14M,2.74%
2018-11-29,68.23,69.4,69.5,67.91,15.40M,-1.93%
2018-11-28,69.57,69.2,69.66,68.44,20.64M,1.15%
2018-11-27,68.78,68.01,69.39,67.1,31.79M,-0.61%
2018-11-26,69.2,65,69.24,65,39.96M,6.18%
2018-11-23,65.17,66.87,67.5,65.11,21.01M,-3.65%
2018-11-21,67.64,70.4,70.62,67.48,23.43M,-2.68%
2018-11-20,69.5,68.35,69.96,66.71,40.02M,-1.68%
2018-11-19,70.69,71.27,73.35,70.58,48.54M,-0.24%
2018-11-16,70.86,69.04,71.14,69.02,36.03M,1.68%
2018-11-15,69.69,68.47,69.72,67.81,23.13M,1.29%
2018-11-14,68.8,68.54,69.42,67.43,25.20M,1.55%
2018-11-13,67.75,66.63,68.94,66.44,27.24M,2.25%
2018-11-12,66.26,69.67,69.96,66.07,34.71M,-5.48%
2018-11-09,70.1,69.8,70.8,69.05,25.49M,-0.26%
2018-11-08,70.28,69.7,71.52,69.69,35.45M,0.93%
2018-11-07,69.63,68.67,70.24,68.16,36.87M,2.08%
2018-11-06,68.21,67.81,69.76,67.22,33.81M,-0.10%
2018-11-05,68.28,68.1,68.79,66.03,39.16M,-1.44%
2018-11-02,69.28,68.75,69.84,68.18,39.04M,0.61%
2018-11-01,68.86,67.65,69.57,66.94,40.00M,2.08%
2018-10-31,67.46,66.51,68.4,65.82,38.12M,2.24%
2018-10-30,65.98,65.68,67.58,64.45,45.63M,-1.48%
2018-10-29,66.97,67.49,69.43,65.3,72.43M,1.19%
2018-10-26,66.18,61.65,67.98,61.33,137.13M,5.10%
2018-10-25,62.97,63.44,64.2,60.2,104.20M,9.13%
2018-10-24,57.7,60.21,60.89,57.15,100.29M,-1.92%
2018-10-23,58.83,52.77,59.59,52.42,95.14M,12.72%
2018-10-22,52.19,52.14,52.37,50.52,28.00M,0.37%
2018-10-19,52,53.48,53.93,50.7,46.88M,-1.48%
2018-10-18,52.78,53.86,54.2,52.6,27.11M,-2.91%
2018-10-17,54.36,56.48,56.54,53.16,43.28M,-1.74%
2018-10-16,55.32,53.14,55.48,52.45,47.63M,6.55%
2018-10-15,51.92,51.81,52.66,50.91,31.00M,0.31%
2018-10-12,51.76,52.2,52.4,50.4,36.01M,2.60%
2018-10-11,50.45,51.51,52.45,49.81,40.84M,-1.81%
2018-10-10,51.38,52.92,53.1,49.55,64.08M,-2.25%
2018-10-09,52.56,51.05,53.35,50.66,60.30M,4.89%
2018-10-08,50.11,52.9,53.55,49.8,67.36M,-4.35%
2018-10-05,52.39,54.93,54.98,52,89.72M,-7.06%
2018-10-04,56.37,58.79,58.8,55.53,49.07M,-4.39%
2018-10-03,58.96,60.67,60.92,58.31,39.97M,-2.06%
2018-10-02,60.2,62.79,63.37,59.83,58.72M,-3.12%
2018-10-01,62.14,61.15,62.29,60.21,108.89M,17.36%
2018-09-28,52.95,54.05,55.6,52.11,168.25M,-13.90%
2018-09-27,61.5,62.58,62.99,61.38,42.55M,-0.68%
2018-09-26,61.92,60.38,62.78,60.22,39.22M,2.86%
2018-09-25,60.2,60,60.92,59.3,22.41M,0.43%
2018-09-24,59.94,59.7,60.6,58.72,24.21M,0.20%
2018-09-21,59.82,59.54,60.12,59.07,25.25M,0.25%
2018-09-20,59.67,60.71,61.2,58.67,36.75M,-0.22%
2018-09-19,59.8,56.1,60,56.1,41.47M,4.93%
2018-09-18,56.99,59.34,60.53,55.1,82.74M,-3.36%
2018-09-17,58.97,58.01,60.17,57.63,34.44M,-0.12%
2018-09-14,59.04,57.75,59.47,57.3,33.83M,1.99%
2018-09-13,57.89,57.6,59,57.04,31.70M,-0.38%
2018-09-12,58.11,56.29,58.5,55.73,50.08M,3.97%
2018-09-11,55.89,55.89,56.4,54.71,45.85M,-2.12%
2018-09-10,57.1,54.65,57.21,54.2,71.42M,8.45%
2018-09-07,52.65,52.02,53.67,50.45,112.46M,-6.30%
2018-09-06,56.19,56.96,58.23,55.78,37.40M,0.07%
2018-09-05,56.15,57.01,57.36,55.44,38.60M,-2.84%
2018-09-04,57.79,59.39,59.64,57.6,41.75M,-4.21%
2018-08-31,60.33,60.4,61.06,59.72,26.88M,-0.49%
2018-08-30,60.63,60.45,60.92,59.54,36.08M,-0.61%
2018-08-29,61,62.05,62.37,60.74,37.24M,-2.20%
2018-08-28,62.37,63.68,63.78,62.24,38.25M,-2.32%
2018-08-27,63.85,63.6,64.49,61.76,65.40M,-1.10%
2018-08-24,64.56,64.14,64.77,63.88,18.01M,0.84%
2018-08-23,64.02,63.83,65.46,63.62,25.74M,-0.48%
2018-08-22,64.33,64.17,64.78,62.93,29.73M,-0.08%
2018-08-21,64.38,62.12,64.96,61.8,65.86M,4.36%
2018-08-20,61.69,58.34,61.7,57.64,87.01M,0.97%
2018-08-17,61.1,64.7,65.35,60.71,94.79M,-8.93%
2018-08-16,67.09,67.98,68.46,66.76,30.32M,-0.96%
2018-08-15,67.74,68.38,68.9,66.43,45.51M,-2.57%
2018-08-14,69.53,71.69,71.84,69.42,34.93M,-2.46%
2018-08-13,71.28,72.23,72.64,69.8,52.32M,0.25%
2018-08-10,71.1,70.8,72,69.2,57.76M,0.87%
2018-08-09,70.49,73.11,73.4,69.15,85.92M,-4.83%
2018-08-08,74.07,73.82,76.53,73.42,122.86M,-2.42%
2018-08-07,75.91,68.77,77.49,67.83,154.38M,10.98%
2018-08-06,68.4,69.09,71,68.36,42.82M,-1.77%
2018-08-03,69.63,69.56,71,68.51,68.28M,-0.40%
2018-08-02,69.91,65.69,70,64.63,116.07M,16.19%
2018-08-01,60.17,59.6,60.6,58.6,50.65M,0.91%
2018-07-31,59.63,58.45,59.66,57.81,25.38M,2.76%
2018-07-30,58.03,59.18,59.22,57.23,34.07M,-2.37%
2018-07-27,59.44,61.45,61.54,59.07,28.52M,-3.08%
2018-07-26,61.33,60.97,62.14,60.73,23.15M,-0.68%
2018-07-25,61.75,59.35,61.92,58.9,35.47M,3.80%
2018-07-24,59.49,60.88,61.54,58.51,47.95M,-1.90%
2018-07-23,60.64,60.37,61.1,58.57,54.96M,-3.32%
2018-07-20,62.72,64.25,64.65,62.34,25.83M,-2.08%
2018-07-19,64.05,63.27,64.71,62.8,29.58M,-1.11%
2018-07-18,64.77,65,65.1,63.25,28.12M,0.36%
2018-07-17,64.54,61.76,64.95,61.7,34.98M,4.06%
2018-07-16,62.02,62.34,63.03,61.25,39.09M,-2.74%
2018-07-13,63.77,63.12,63.92,61.85,29.38M,0.68%
2018-07-12,63.34,64.29,64.65,62.55,28.61M,-0.71%
2018-07-11,63.79,63.16,64.39,63.01,24.42M,-1.09%
2018-07-10,64.49,64.91,65.54,63.84,47.36M,1.24%
2018-07-09,63.7,62.4,63.7,61.6,37.98M,3.11%
2018-07-06,61.78,60.99,62.41,60.4,44.33M,-0.08%
2018-07-05,61.83,62.75,62.88,59.24,87.38M,-0.55%
2018-07-03,62.17,66.35,66.5,61.94,61.41M,-7.22%
2018-07-02,67.01,72.01,72.96,65.97,93.80M,-2.30%
2018-06-29,68.59,70.67,70.77,68.48,32.46M,-2.00%
2018-06-28,69.99,69.73,71.4,69.22,41.99M,1.58%
2018-06-27,68.9,69,70.16,67.9,41.67M,0.73%
2018-06-26,68.4,67.21,68.71,65.16,37.26M,2.70%
2018-06-25,66.6,66.02,67.69,65.5,34.66M,-0.19%
2018-06-22,66.73,70.31,70.45,66.4,51.33M,-3.99%
2018-06-21,69.5,72.4,73.24,69.25,39.84M,-4.06%
2018-06-20,72.44,71.61,72.88,70.4,41.92M,2.74%
2018-06-19,70.51,73.03,74,69.25,63.81M,-4.93%
2018-06-18,74.17,71.08,74.75,70.9,60.37M,3.55%
2018-06-15,71.63,70.77,72.93,70.25,54.24M,0.13%
2018-06-14,71.54,69.53,71.75,69.32,54.91M,3.74%
2018-06-13,68.96,69.34,69.44,67.96,47.35M,0.60%
2018-06-12,68.55,68.94,70.99,67.6,111.74M,3.21%
2018-06-11,66.42,64.5,66.93,64.5,65.92M,4.55%
2018-06-08,63.53,63.8,64.9,63.43,41.03M,0.49%
2018-06-07,63.22,63.23,66,62.72,71.73M,-1.06%
2018-06-06,63.9,60.1,64.43,59.5,93.84M,9.74%
2018-06-05,58.23,59.54,59.56,57.35,29.98M,-1.89%
2018-06-04,59.35,58.87,59.8,58.71,23.99M,1.70%
2018-06-01,58.36,57.17,58.39,56.77,27.12M,2.48%
2018-05-31,56.95,57.44,58.07,56.59,29.60M,-2.38%
2018-05-30,58.34,56.66,59,56.32,37.45M,2.80%
2018-05-29,56.75,55.7,57.3,55.23,28.33M,1.76%
2018-05-25,55.77,55.53,55.93,55.12,19.38M,0.36%
2018-05-24,55.57,55.68,56.22,54.98,20.88M,-0.43%
2018-05-23,55.81,55.55,55.98,54.8,29.93M,1.47%
2018-05-22,55,57.55,57.6,54.68,44.73M,-3.34%
2018-05-21,56.9,56.27,58.3,56.26,45.91M,2.78%
2018-05-18,55.36,56.93,56.93,54.8,36.26M,-2.72%
2018-05-17,56.91,57.18,57.84,56.79,22.10M,-0.68%
2018-05-16,57.3,56.77,57.76,56.31,28.37M,0.81%
2018-05-15,56.84,57,57.39,56.1,47.60M,-2.65%
2018-05-14,58.39,60.66,60.99,58.32,36.43M,-3.02%
2018-05-11,60.21,61.54,61.78,59.82,23.40M,-1.30%
2018-05-10,61,61.5,62.6,60.82,28.26M,-0.60%
2018-05-09,61.37,60.08,61.4,60.01,28.64M,1.62%
2018-05-08,60.39,60.16,61.55,59.8,29.65M,-0.26%
2018-05-07,60.55,59.5,61.19,59.03,43.39M,2.94%
2018-05-04,58.82,56.6,59.37,55.9,42.85M,3.39%
2018-05-03,56.89,55.76,57.61,55.05,86.76M,-5.55%
2018-05-02,60.23,59.71,61.37,59.56,44.85M,0.42%
2018-05-01,59.98,58.7,60.16,58.64,23.13M,2.04%
2018-04-30,58.78,58.72,59.75,58.5,21.14M,-0.05%
2018-04-27,58.81,57.07,58.89,56.77,21.82M,2.99%
2018-04-26,57.1,55.75,57.16,55.3,21.78M,1.71%
2018-04-25,56.14,56.7,57.03,55.45,20.07M,-0.97%
2018-04-24,56.69,57,57.42,55.69,28.43M,0.04%
2018-04-23,56.67,58.26,58.32,56.47,24.47M,-2.38%
2018-04-20,58.05,59.03,60,57.95,28.14M,-3.28%
2018-04-19,60.02,58.22,60.2,57.71,30.45M,2.30%
2018-04-18,58.67,58.22,60.05,57.63,32.79M,1.96%
2018-04-17,57.54,57.77,58.43,56.5,35.00M,-1.20%
2018-04-16,58.24,59.8,59.93,57.8,31.69M,-3.05%
2018-04-13,60.07,60.72,60.79,59.2,36.64M,2.13%
2018-04-12,58.82,60.46,60.79,58.74,38.04M,-2.28%
2018-04-11,60.19,60.15,61.8,59.93,37.41M,-1.23%
2018-04-10,60.94,59.79,61.42,58.74,55.12M,5.20%
2018-04-09,57.93,60.07,61.9,57.84,51.25M,-3.22%
2018-04-06,59.86,60.2,61.86,59.1,67.60M,-2.09%
2018-04-05,61.14,57.87,61.25,57.64,95.61M,6.53%
2018-04-04,57.39,50.56,57.67,50.4,99.48M,7.25%
2018-04-03,53.51,53.96,54.67,50.9,94.22M,5.96%
2018-04-02,50.5,51.25,52.07,48.92,80.57M,-5.13%
2018-03-29,53.23,51.3,54.19,49.64,75.85M,3.24%
2018-03-28,51.56,52.92,53.74,50.42,105.01M,-7.66%
2018-03-27,55.84,60.8,60.85,55.44,69.36M,-8.22%
2018-03-26,60.84,61.47,61.52,58.27,41.88M,0.88%
2018-03-23,60.31,62.25,62.32,60.09,33.27M,-2.44%
2018-03-22,61.82,62.78,63.76,61.64,24.70M,-2.35%
2018-03-21,63.31,62.05,64.49,62.04,29.79M,1.93%
2018-03-20,62.11,62.97,63.25,61.75,23.82M,-0.96%
2018-03-19,62.71,63.3,64.15,61.93,37.42M,-2.43%
2018-03-16,64.27,65.19,65.48,63.81,30.59M,-1.31%
2018-03-15,65.12,65.88,66.57,64.22,32.82M,-0.32%
2018-03-14,65.33,67.35,67.96,64.79,39.84M,-4.45%
2018-03-13,68.37,68.98,69.02,67.25,29.83M,-1.06%
2018-03-12,69.1,65.72,69.44,65.3,41.32M,5.61%
2018-03-09,65.43,64.82,65.7,64.47,27.53M,-0.59%
2018-03-08,65.82,66.57,66.66,65.25,17.83M,-0.96%
2018-03-07,66.46,65.09,66.5,64.35,25.04M,1.25%
2018-03-06,65.64,66.75,67.27,65.41,21.43M,-1.54%
2018-03-05,66.67,66.48,67.55,65.86,19.12M,-0.52%
2018-03-02,67.02,65.4,67.04,64.59,25.46M,1.25%
2018-03-01,66.19,69,69.73,66.01,34.43M,-3.53%
2018-02-28,68.61,70.51,71.05,68.44,30.35M,-2.26%
2018-02-27,70.2,71.25,72,70,23.99M,-1.79%
2018-02-26,71.48,70.7,71.8,70.47,21.70M,1.52%
2018-02-23,70.41,69.57,71,69.42,29.09M,1.70%
2018-02-22,69.23,67.11,69.49,66.95,34.85M,3.86%
2018-02-21,66.66,67.21,67.94,66.63,16.10M,-0.43%
2018-02-20,66.95,66.89,68.17,66.3,20.05M,-0.22%
2018-02-16,67.1,66.5,68.62,66.33,28.21M,0.43%
2018-02-15,66.81,64.9,66.82,64.48,29.56M,3.65%
2018-02-14,64.46,64.17,65.23,63.7,19.75M,-0.42%
2018-02-13,64.73,63,64.84,62.5,22.80M,2.50%
2018-02-12,63.15,63.23,63.62,61.25,31.14M,1.72%
2018-02-09,62.08,63.99,64.2,58.95,64.67M,-1.54%
2018-02-08,63.05,68.66,69.72,62.92,51.57M,-8.62%
2018-02-07,69,67.8,69.2,67.13,34.85M,3.31%
2018-02-06,66.79,65.04,67.24,64.7,25.44M,0.24%
2018-02-05,66.63,67.59,68.89,66.6,22.32M,-3.08%
2018-02-02,68.75,69.69,70.39,68.1,18.52M,-1.57%
2018-02-01,69.85,70.2,71.93,69.73,20.99M,-1.43%
2018-01-31,70.86,69.5,71.24,69.04,31.07M,2.46%
2018-01-30,69.16,69.03,69.65,68.43,23.59M,-1.07%
2018-01-29,69.91,67.97,70.17,67.66,23.74M,1.95%
2018-01-26,68.57,68.3,68.8,67.14,22.70M,1.54%
2018-01-25,67.53,69.65,69.84,67.28,33.70M,-2.39%
2018-01-24,69.18,70.92,70.95,68.7,26.44M,-1.96%
2018-01-23,70.56,72,72.1,70.2,27.33M,0.36%
2018-01-22,70.31,69.88,71.57,69.84,31.05M,0.44%
2018-01-19,70,69,70.12,68.52,24.44M,1.58%
2018-01-18,68.91,69.13,70.46,68.75,28.43M,-0.75%
2018-01-17,69.43,68.09,69.8,67.95,35.52M,2.09%
2018-01-16,68.01,67.51,69,66.96,32.37M,1.15%
2018-01-12,67.24,67.73,68.08,66.73,24.13M,-0.52%
2018-01-11,67.59,67.05,68.96,66.65,33.23M,0.94%
2018-01-10,66.96,66.44,67.4,66,21.55M,0.33%
2018-01-09,66.74,67.03,67.76,65.48,35.73M,-0.80%
2018-01-08,67.28,63.2,67.4,63.1,49.30M,6.25%
2018-01-05,63.32,63.32,63.45,62.4,22.96M,0.64%
2018-01-04,62.92,62.57,63.71,61.14,49.73M,-0.84%
2018-01-03,63.45,64.2,65.05,63.11,22.61M,-1.03%
2018-01-02,64.11,62.4,64.42,62.2,21.76M,2.95%
2017-12-29,62.27,63.24,63.28,62,18.89M,-1.27%
2017-12-28,63.07,62.35,63.16,61.91,21.58M,1.19%
2017-12-27,62.33,63.2,63.54,62.15,23.56M,-1.78%
2017-12-26,63.46,64.77,64.79,63.32,21.89M,-2.43%
2017-12-22,65.04,65.9,66.18,64.96,21.08M,-1.94%
2017-12-21,66.33,65.92,66.75,65.44,21.93M,0.81%
2017-12-20,65.8,66.54,66.62,65.01,29.77M,-0.63%
2017-12-19,66.22,68.05,68.3,66.06,34.12M,-2.29%
2017-12-18,67.77,68.98,69.35,67.52,27.38M,-1.34%
2017-12-15,68.69,68.41,68.78,67.15,34.67M,1.64%
2017-12-14,67.58,68.2,69.49,67.38,29.00M,-0.34%
2017-12-13,67.81,68.19,68.84,67.3,31.11M,-0.59%
2017-12-12,68.21,66.09,68.29,66.01,43.67M,3.69%
2017-12-11,65.78,62.93,65.8,62.75,39.69M,4.36%
2017-12-08,63.03,62.92,63.4,62.25,17.34M,1.25%
2017-12-07,62.25,62.4,63.73,62.21,23.90M,-0.64%
2017-12-06,62.65,60.02,62.68,60,35.98M,3.14%
2017-12-05,60.74,60.4,61.6,60.2,23.23M,-0.49%
2017-12-04,61.04,61.3,61.65,60.12,29.18M,-0.44%
2017-12-01,61.31,61.09,62.06,61.01,21.46M,-0.74%
2017-11-30,61.77,61.71,62.14,60.91,21.76M,0.42%
2017-11-29,61.51,63.46,63.6,60.25,43.84M,-3.15%
2017-11-28,63.51,63.27,64,62.78,24.75M,0.24%
2017-11-27,63.36,62.65,63.47,61.9,22.78M,0.40%
2017-11-24,63.11,62.76,63.28,62.2,16.22M,0.94%
2017-11-22,62.52,63.35,63.48,62.37,24.59M,-1.64%
2017-11-21,63.56,62.17,63.65,61.74,36.31M,2.93%
2017-11-20,61.75,62.76,63.1,60.95,41.24M,-2.00%
2017-11-17,63.01,65.13,65.33,62.63,68.68M,0.82%
2017-11-16,62.5,62.8,63.63,62.26,29.11M,0.39%
2017-11-15,62.26,61.2,62.5,60.3,29.89M,0.84%
2017-11-14,61.74,63,63.27,61.38,28.38M,-2.12%
2017-11-13,63.08,60.03,63.36,59.82,37.92M,4.09%
2017-11-10,60.6,60.5,61.67,60.37,23.13M,0.00%
2017-11-09,60.6,60.5,60.89,59.26,27.24M,-0.46%
2017-11-08,60.88,61.1,61.38,60.26,23.63M,-0.54%
2017-11-07,61.21,60.2,61.3,60.01,26.47M,1.07%
2017-11-06,60.56,61.4,61.5,59.8,32.43M,-1.08%
2017-11-03,61.22,59.9,61.25,59.03,44.47M,2.29%
2017-11-02,59.85,60.03,61.74,58.53,98.96M,-6.80%
2017-11-01,64.22,66.45,66.52,64.05,42.29M,-3.15%
2017-10-31,66.31,64.05,66.39,64.04,28.36M,3.58%
2017-10-30,64.02,63.84,64.76,63.45,21.27M,-0.23%
2017-10-27,64.17,63.95,64.92,63.33,34.90M,-1.63%
2017-10-26,65.23,65.56,66.05,64.64,25.12M,0.09%
2017-10-25,65.17,67.34,67.5,64.71,42.97M,-3.41%
2017-10-24,67.47,67.76,68.56,67.23,22.46M,0.10%
2017-10-23,67.4,69.98,69.99,67.25,28.74M,-2.35%
2017-10-20,69.02,70.54,70.91,68.87,24.65M,-1.90%
2017-10-19,70.36,71.11,71.43,69.64,25.31M,-2.18%
2017-10-18,71.93,71.19,72.6,70.83,24.70M,1.10%
2017-10-17,71.15,70.18,71.24,70.01,16.47M,1.47%
2017-10-16,70.12,70.75,70.9,69.43,26.88M,-1.39%
2017-10-13,71.11,71.4,71.7,70.74,17.70M,-0.04%
2017-10-12,71.14,70.59,71.96,70.53,20.44M,0.31%
2017-10-11,70.92,70.78,71.52,70.23,22.50M,-0.28%
2017-10-10,71.12,69.36,71.13,69.11,34.89M,3.69%
2017-10-09,68.59,69.93,70.35,68.53,37.47M,-3.91%
2017-10-06,71.38,70.62,72.02,70.45,21.49M,0.44%
2017-10-05,71.07,71.2,71.49,70.27,20.86M,0.10%
2017-10-04,71,70.25,71.72,69.92,40.82M,1.97%
2017-10-03,69.63,67.18,69.71,66.26,50.77M,1.93%
2017-10-02,68.31,68.5,68.74,67.1,26.43M,0.13%
2017-09-29,68.22,68.37,68.94,67.72,25.54M,0.44%
2017-09-28,67.92,67.98,68.55,67.08,26.60M,-0.40%
2017-09-27,68.19,69.98,70.3,68.1,30.30M,-1.25%
2017-09-26,69.05,70.19,70.25,68.18,35.78M,0.07%
2017-09-25,69,70.63,71.49,68.58,38.03M,-1.74%
2017-09-22,70.22,73.3,73.98,70.18,40.80M,-4.20%
2017-09-21,73.3,74.98,75.37,72.9,23.09M,-1.98%
2017-09-20,74.78,74.6,75.65,74.21,24.60M,-0.32%
2017-09-19,75.02,76,76.48,74.71,32.26M,-2.57%
2017-09-18,77,76.05,77.92,75.54,35.94M,1.37%
2017-09-15,75.96,74.9,76,74.54,27.10M,0.57%
